"Query","Count","Shape","Top Click","User Locations"
"kate wright","307","N/A","http://oasisapps.curtin.edu.au/staff/profile/view/Kate.Wright","Bentley, Perth, Parkville, Unknown, Singapore, Townsville"
"stadium","306","N/A","http://recreation.curtin.edu.au/","Bentley, Perth, Unknown, Adelaide, Corsicana, Merrylands"
"вапвпва","306","N/A","N/A",""
"design","301","N/A","http://humanities.curtin.edu.au/schools/DA/","Unknown, Perth, Aitkenvale, Brisbane, Gurgaon, Doncaster"
"interior architecture","297","N/A","http://courses.curtin.edu.au/course_overview/undergraduate/interior-architecture","Perth, Unknown, Bentley, Kuala Lumpur, Klang, Cannington"
"brenda lee","297","N/A","http://oasisapps.curtin.edu.au/staff/profile/view/B.Lee","Bentley, Perth, Edith, Unknown, Melbourne, Sydney"
"teaching","296","N/A","http://otl.curtin.edu.au/","Perth, Unknown, Sydney, Bentley, Brisbane, Belmont"
"jeanette hacket","295","N/A","http://oasisapps.curtin.edu.au/staff/profile/view/vc","Bentley, Perth, Unknown, Canberra, Melbourne, Quezon"
"access blackboard","294","N/A","http://blogs.curtin.edu.au/learning-technologies-support/blackboard-faqs/missing-menu/","Perth, Unknown, Bentley, Sydney, Melbourne, Hoppers Crossing"
"financial services","289","N/A","http://finance.curtin.edu.au/","Bentley, Unknown, Sydney, Eastwood, Perth"
"handbook 2013","289","N/A","http://handbook.curtin.edu.au/","Perth, Bentley, Unknown, New York, Rena, Revesby"
"apa","289","N/A","http://libguides.library.curtin.edu.au/content.php?pid=141214&amp;sid=1335391","Unknown, Perth, Bentley, Melbourne, Brisbane, Sydney"
"student card","288","N/A","http://students.curtin.edu.au/administration/id_cards.cfm","Perth, Unknown, Bentley, Sydney, Melbourne, Eastwood"
"school of education","287","N/A","http://humanities.curtin.edu.au/schools/EDU/education/","Perth, Unknown, Bentley, Melbourne, Quakers Hill, Dalkeith"
"common ground","285","N/A","http://about.curtin.edu.au/services-on-campus.cfm","Bentley, Perth, Parkville, Unknown, Roleystone"
"procurement","282","N/A","https://cits.curtin.edu.au/staff/ict/index.cfm","Bentley, Perth, Quezon City, Parkville, Ryde, Waterford"
"ilectures","282","N/A","http://otl.curtin.edu.au/learning_technologies/iLecture/iLecture.cfm","Bentley, Unknown, Perth, Briar Hill, Canberra, Padstow"
"gis","276","N/A","http://gis.curtin.edu.au/","Perth, Unknown, Melbourne, Bentley, Greenwich, Islamabad"
"sport","273","N/A","http://recreation.curtin.edu.au/","Perth, Unknown, Bentley, Bandar Seri Begawan, Mandurah, Cardiff"
"published unit outlines","273","N/A","http://otl.curtin.edu.au/course_quality/unit_outline_builder/search_published_UO.cfm","Bayswater, Perth, Bentley, Sydney, Unknown, Rockingham"
"google","273","N/A","http://libguides.library.curtin.edu.au/google-and-google-scholar","Bentley, Unknown, Perth, Melbourne, Milazzo"
"school of nursing","272","N/A","http://healthsciences.curtin.edu.au/teaching/nursing-midwifery_home.cfm","Perth, Unknown, Bentley, Seoul, Singapore, Sydney"
"concur","271","N/A","http://finance.curtin.edu.au/concur/index.cfm","Bentley, Perth, Unknown, Parkville, Castlecrag"
"management","271","N/A","http://business.curtin.edu.au/","Unknown, Perth, Bentley, Dalkeith, Moonah, Beijing"
"academic transcript","270","N/A","http://students.curtin.edu.au/administration/documents_request.cfm","Unknown, Perth, Bentley, Sydney, Seoul, Incheon"
"health and safety","269","N/A","http://osh.curtin.edu.au/","Bentley, Unknown, Perth, Parkville, Rowville, Edith"
"photography","268","N/A","http://courses.curtin.edu.au/course_overview/undergraduate/photography-communication","Perth, Unknown, Bentley, Adelaide, Shenton Park, Litchfield Park"
